path,label,source,y_true,y_prob,y_pred
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1841-11.png,1,stargan,1.0,0.9999905824661255,1
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1792-24.png,1,stargan,1.0,0.999991774559021,1
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1733-28.png,1,stargan,1.0,0.9999831914901733,1
/home/jms/DFFD/ParentDir/Real/ffhq/test/R_FFHQ_13541.png,0,ffhq,0.0,1.7488822489736948e-19,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_06840.png,0,ffhq,0.0,4.2774809803039994e-17,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_08172.png,0,ffhq,0.0,9.546107902368064e-16,0
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1556-39.png,1,stargan,1.0,0.9999905824661255,1
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_04549.png,0,ffhq,0.0,2.022905549969616e-18,0
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1782-11.png,1,stargan,1.0,0.9999947547912598,1
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1223-27.png,1,stargan,1.0,0.9999945163726807,1
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_06587.png,0,ffhq,0.0,6.177170161177053e-18,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_07625.png,0,ffhq,0.0,9.720498817492372e-18,0
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1516-38.png,1,stargan,1.0,0.9999836683273315,1
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_01744.png,0,ffhq,0.0,5.074848183783268e-18,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_07094.png,0,ffhq,0.0,2.0448312128762526e-18,0
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1148-28.png,1,stargan,1.0,0.9999774694442749,1
/home/jms/DFFD/ParentDir/Fake/stargan/train/F_STGN_0374-17.png,1,stargan,1.0,0.9999978542327881,1
/home/jms/DFFD/ParentDir/Fake/stargan/train/F_STGN_0172-06.png,1,stargan,1.0,0.9996271133422852,1
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_04281.png,0,ffhq,0.0,3.484176763916499e-19,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_05572.png,0,ffhq,0.0,4.031324272281284e-18,0
/home/jms/DFFD/ParentDir/Real/ffhq/test/R_FFHQ_13914.png,0,ffhq,0.0,1.579081337354952e-17,0
/home/jms/DFFD/ParentDir/Real/ffhq/validation/R_FFHQ_10037.png,0,ffhq,0.0,1.2214929148181546e-14,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_02387.png,0,ffhq,0.0,2.0000112833810978e-16,0
/home/jms/DFFD/ParentDir/Fake/stargan/test/F_STGN_1693-24.png,1,stargan,1.0,0.9999645948410034,1
/home/jms/DFFD/ParentDir/Real/ffhq/test/R_FFHQ_18500.png,0,ffhq,0.0,2.272265672078759e-16,0
/home/jms/DFFD/ParentDir/Fake/stargan/train/F_STGN_0161-06.png,1,stargan,1.0,0.9987630844116211,1
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_08204.png,0,ffhq,0.0,6.812139305929623e-20,0
/home/jms/DFFD/ParentDir/Real/ffhq/validation/R_FFHQ_10812.png,0,ffhq,0.0,6.43428465109511e-23,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_03154.png,0,ffhq,0.0,5.3265116166744476e-20,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_01777.png,0,ffhq,0.0,5.790517974238896e-15,0
/home/jms/DFFD/ParentDir/Real/ffhq/train/R_FFHQ_01528.png,0,ffhq,0.0,1.6596280391625453e-19,0
/home/jms/DFFD/ParentDir/Real/ffhq/test/R_FFHQ_11273.png,0,ffhq,0.0,1.7564584737522504e-18,0
